 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nº de Concluintes Participantes com nota no Enem; Proporção de Concluintes participantes com nota no Enem; Nota Bruta - IDD; IDD (Contínuo); IDD (Faixa);Observação
2019;12;MEDICINA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;72675;Educação Presencial;1100205;Porto Velho;RO;84;23;20;0,869565217;-1,1129;2,0221;3;
2019;21;ARQUITETURA E URBANISMO;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;117543;Educação Presencial;1100205;Porto Velho;RO;52;43;34;0,790697674;0,5612;2,7306;3;
2019;27;FONOAUDIOLOGIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;118868;Educação Presencial;1100205;Porto Velho;RO;34;32;25;0,78125;0,818;2,8544;3;
2019;51;ZOOTECNIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;109258;Educação Presencial;1100205;Porto Velho;RO;16;15;13;0,866666667;-3,8593;0,2508;1;
2019;91;TECNOLOGIA EM GESTÃO HOSPITALAR;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;110636;Educação Presencial;1100205;Porto Velho;RO;8;6;5;0,833333333;-0,8218;2,58;3;
2019;23;ENFERMAGEM;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;73751;Educação Presencial;1100205;Porto Velho;RO;39;35;27;0,771428571;-0,1502;2,4313;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1738;Faculdade São Lucas Porto Velho;FSL;Faculdade;Privada com fins lucrativos;1260525;Educação Presencial;1100205;Porto Velho;RO;27;19;17;0,894736842;-1,0472;2,0579;3;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);1738;Faculdade São Lucas Porto Velho;FSL;Faculdade;Privada com fins lucrativos;59662;Educação Presencial;1100205;Porto Velho;RO;35;16;13;0,8125;1,9866;3,4985;4;
2019;5710;ENGENHARIA CIVIL;788;FACULDADE DE RONDÔNIA;FARO;Faculdade;Privada sem fins lucrativos;68951;Educação Presencial;1100205;Porto Velho;RO;88;86;76;0,88372093;0,5679;2,9824;4;
2019;6405;ENGENHARIA FLORESTAL;788;FACULDADE DE RONDÔNIA;FARO;Faculdade;Privada sem fins lucrativos;49069;Educação Presencial;1100205;Porto Velho;RO;34;32;20;0,625;-0,4147;1,8356;2;
2019;36;FISIOTERAPIA;1728;FACULDADE INTERAMERICANA DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;117474;Educação Presencial;1100205;Porto Velho;RO;32;27;25;0,925925926;0,3445;2,7768;3;
2019;23;ENFERMAGEM;1728;FACULDADE INTERAMERICANA DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;118774;Educação Presencial;1100205;Porto Velho;RO;74;71;47;0,661971831;-0,4317;2,2721;3;
2019;21;ARQUITETURA E URBANISMO;1728;FACULDADE INTERAMERICANA DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;88416;Educação Presencial;1100205;Porto Velho;RO;145;107;86;0,803738318;-0,0427;2,3151;3;
2019;23;ENFERMAGEM;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;15998;Educação Presencial;1100205;Porto Velho;RO;2;0;0;0;;;SC;
2019;12;MEDICINA;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;51699;Educação Presencial;1100205;Porto Velho;RO;42;41;40;0,975609756;-0,0301;3,2224;4;
2019;5806;ENGENHARIA ELÉTRICA;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;100292;Educação Presencial;1100205;Porto Velho;RO;41;35;30;0,857142857;-0,6997;2,2744;3;
2019;5710;ENGENHARIA CIVIL;1515;FACULDADE DE EDUCAÇÃO DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;1257911;Educação Presencial;1100205;Porto Velho;RO;48;43;35;0,813953488;0,0062;2,6383;3;
2019;5806;ENGENHARIA ELÉTRICA;2058;FACULDADE METROPOLITANA;UNNESA;Faculdade;Privada com fins lucrativos;1261514;Educação Presencial;1100205;Porto Velho;RO;41;36;22;0,611111111;-0,6208;2,3031;3;
2019;95;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;2058;FACULDADE METROPOLITANA;UNNESA;Faculdade;Privada com fins lucrativos;1280427;Educação Presencial;1100205;Porto Velho;RO;17;16;13;0,8125;0,014;2,4673;3;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);2058;FACULDADE METROPOLITANA;UNNESA;Faculdade;Privada com fins lucrativos;1193270;Educação Presencial;1100205;Porto Velho;RO;12;12;6;0,5;1,7;3,3651;4;
2019;69;TECNOLOGIA EM RADIOLOGIA;2058;FACULDADE METROPOLITANA;UNNESA;Faculdade;Privada com fins lucrativos;1260758;Educação Presencial;1100205;Porto Velho;RO;7;5;3;0,6;-0,1844;2,372;3;
2019;27;FONOAUDIOLOGIA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;50992;Educação Presencial;1100205;Porto Velho;RO;14;5;5;1;0,3662;2,6521;3;
2019;55;BIOMEDICINA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;52743;Educação Presencial;1100205;Porto Velho;RO;31;16;14;0,875;0,9679;3,0707;4;
2019;36;FISIOTERAPIA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;54924;Educação Presencial;1100205;Porto Velho;RO;24;13;13;1;1,4588;3,4313;4;
2019;12;MEDICINA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;85652;Educação Presencial;1100205;Porto Velho;RO;99;91;79;0,868131868;0,1717;3,4461;4;
2019;6;ODONTOLOGIA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;57926;Educação Presencial;1100205;Porto Velho;RO;72;37;31;0,837837838;0,4277;2,9197;3;
2019;95;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;1369371;Educação Presencial;1100205;Porto Velho;RO;32;24;19;0,791666667;0,2829;2,5991;3;
2019;21;ARQUITETURA E URBANISMO;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;1204836;Educação Presencial;1100205;Porto Velho;RO;16;10;9;0,9;-2,7273;0,4679;1;
2019;23;ENFERMAGEM;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;352123;Educação Presencial;1100205;Porto Velho;RO;84;40;36;0,9;-0,3777;2,3026;3;
2019;23;ENFERMAGEM;4613;FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;FAEMA;Faculdade;Privada com fins lucrativos;104306;Educação Presencial;1100023;Ariquemes;RO;69;65;57;0,876923077;-0,2194;2,3922;3;
2019;6002;ENGENHARIA DE ALIMENTOS;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;116776;Educação Presencial;1100023;Ariquemes;RO;3;3;3;1;3,0849;3,9678;5;
2019;23;ENFERMAGEM;1540;INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA;IESUR;Faculdade;Privada sem fins lucrativos;5000264;Educação Presencial;1100023;Ariquemes;RO;18;18;11;0,611111111;-0,5171;2,2238;3;
2019;19;FARMÁCIA;1540;INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA;IESUR;Faculdade;Privada sem fins lucrativos;5000263;Educação Presencial;1100023;Ariquemes;RO;21;20;19;0,95;-0,3339;2,2941;3;
2019;19;FARMÁCIA;4613;FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;FAEMA;Faculdade;Privada com fins lucrativos;104308;Educação Presencial;1100023;Ariquemes;RO;59;58;50;0,862068966;-1,099;1,8744;2;
2019;36;FISIOTERAPIA;4613;FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE;FAEMA;Faculdade;Privada com fins lucrativos;104312;Educação Presencial;1100023;Ariquemes;RO;28;28;27;0,964285714;-0,6455;2,1954;3;
2019;5;MEDICINA VETERINÁRIA;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;75368;Educação Presencial;1100122;Ji-Paraná;RO;42;36;34;0,944444444;-0,5592;1,7961;2;
2019;6307;ENGENHARIA AMBIENTAL;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;100719;Educação Presencial;1100122;Ji-Paraná;RO;16;16;16;1;0,8899;2,7438;3;
2019;19;FARMÁCIA;4411;FACULDADE PANAMERICANA DE JI-PARANÁ;;Faculdade;Privada sem fins lucrativos;1257965;Educação Presencial;1100122;Ji-Paraná;RO;34;34;25;0,735294118;-1,5525;1,6255;2;
2019;21;ARQUITETURA E URBANISMO;4411;FACULDADE PANAMERICANA DE JI-PARANÁ;;Faculdade;Privada sem fins lucrativos;1258352;Educação Presencial;1100122;Ji-Paraná;RO;22;20;17;0,85;-1,2842;1,4609;2;
2019;23;ENFERMAGEM;4411;FACULDADE PANAMERICANA DE JI-PARANÁ;;Faculdade;Privada sem fins lucrativos;1178713;Educação Presencial;1100122;Ji-Paraná;RO;73;62;50;0,806451613;-0,7068;2,1165;3;
2019;5710;ENGENHARIA CIVIL;4411;FACULDADE PANAMERICANA DE JI-PARANÁ;;Faculdade;Privada sem fins lucrativos;1257964;Educação Presencial;1100122;Ji-Paraná;RO;72;71;52;0,732394366;0,8851;3,1766;4;
2019;36;FISIOTERAPIA;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;63991;Educação Presencial;1100122;Ji-Paraná;RO;16;11;5;0,454545455;-4,3833;0;1;
2019;17;AGRONOMIA;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;9413;Educação Presencial;1100122;Ji-Paraná;RO;43;34;31;0,911764706;-0,4176;2,4237;3;
2019;23;ENFERMAGEM;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;72115;Educação Presencial;1100122;Ji-Paraná;RO;27;18;16;0,888888889;-0,4173;2,2803;3;
2019;21;ARQUITETURA E URBANISMO;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;118388;Educação Presencial;1100122;Ji-Paraná;RO;49;44;34;0,772727273;-1,4504;1,3465;2;
2019;19;FARMÁCIA;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;118390;Educação Presencial;1100122;Ji-Paraná;RO;27;22;21;0,954545455;0,4501;2,7243;3;
2019;55;BIOMEDICINA;450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;118392;Educação Presencial;1100122;Ji-Paraná;RO;27;23;20;0,869565217;0,3782;2,6402;3;
2019;5710;ENGENHARIA CIVIL;2779;FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;FIOURO;Faculdade;Privada sem fins lucrativos;1204491;Educação Presencial;1100155;Ouro Preto do Oeste;RO;27;27;21;0,777777778;-0,4113;2,3826;3;
2019;6307;ENGENHARIA AMBIENTAL;2779;FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE;FIOURO;Faculdade;Privada sem fins lucrativos;1204603;Educação Presencial;1100155;Ouro Preto do Oeste;RO;12;12;10;0,833333333;1,0429;2,7995;3;
2019;51;ZOOTECNIA;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;1321567;Educação Presencial;1100254;Presidente Médici;RO;14;14;14;1;1,0352;3,4068;4;
2019;6;ODONTOLOGIA;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;100878;Educação Presencial;1100049;Cacoal;RO;68;67;58;0,865671642;-0,1244;2,2929;3;
2019;55;BIOMEDICINA;13792;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL;FANORTE CACOAL;Faculdade;Privada com fins lucrativos;1121144;Educação Presencial;1100049;Cacoal;RO;24;22;19;0,863636364;-0,7486;1,8175;2;
2019;19;FARMÁCIA;13792;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL;FANORTE CACOAL;Faculdade;Privada com fins lucrativos;1121146;Educação Presencial;1100049;Cacoal;RO;38;34;28;0,823529412;-0,9437;1,9596;3;
2019;23;ENFERMAGEM;13792;INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL;FANORTE CACOAL;Faculdade;Privada com fins lucrativos;1121143;Educação Presencial;1100049;Cacoal;RO;16;16;10;0,625;-1,4578;1,6917;2;
2019;5710;ENGENHARIA CIVIL;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1105315;Educação Presencial;1100049;Cacoal;RO;66;55;51;0,927272727;0,2103;2,7633;3;
2019;21;ARQUITETURA E URBANISMO;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1182873;Educação Presencial;1100049;Cacoal;RO;46;33;26;0,787878788;-0,2064;2,2025;3;
2019;6307;ENGENHARIA AMBIENTAL;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1032526;Educação Presencial;1100049;Cacoal;RO;17;12;12;1;0,9815;2,7771;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1032532;Educação Presencial;1100049;Cacoal;RO;17;12;9;0,75;0,422;2,6527;3;
2019;55;BIOMEDICINA;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1044438;Educação Presencial;1100049;Cacoal;RO;15;6;6;1;5,1714;5;5;
2019;28;NUTRIÇÃO;4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada sem fins lucrativos;1105314;Educação Presencial;1100049;Cacoal;RO;23;21;16;0,761904762;-0,009;2,4736;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;1106843;Educação Presencial;1100049;Cacoal;RO;12;11;11;1;5,0143;4,512;5;
2019;36;FISIOTERAPIA;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;79756;Educação Presencial;1100049;Cacoal;RO;23;21;17;0,80952381;0,709;2,9909;4;
2019;23;ENFERMAGEM;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;51270;Educação Presencial;1100049;Cacoal;RO;36;35;34;0,971428571;-0,0273;2,5008;3;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;54418;Educação Presencial;1100049;Cacoal;RO;26;26;21;0,807692308;1,5281;3,285;4;
2019;5;MEDICINA VETERINÁRIA;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;98350;Educação Presencial;1100049;Cacoal;RO;84;81;68;0,839506173;0,1684;2,668;3;
2019;12;MEDICINA;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;98409;Educação Presencial;1100049;Cacoal;RO;46;45;38;0,844444444;-3,8642;0;1;
2019;19;FARMÁCIA;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;119996;Educação Presencial;1100049;Cacoal;RO;40;39;31;0,794871795;0,2532;2,6163;3;
2019;21;ARQUITETURA E URBANISMO;1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;1180192;Educação Presencial;1100049;Cacoal;RO;58;57;51;0,894736842;-1,6448;1,2127;2;
2019;19;FARMÁCIA;2754;FACULDADE SÃO PAULO;FSP;Faculdade;Privada com fins lucrativos;1074022;Educação Presencial;1100288;Rolim de Moura;RO;74;72;63;0,875;-0,1762;2,3807;3;
2019;17;AGRONOMIA;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;58075;Educação Presencial;1100288;Rolim de Moura;RO;21;20;19;0,95;1,2851;3,7745;4;
2019;6405;ENGENHARIA FLORESTAL;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;116734;Educação Presencial;1100288;Rolim de Moura;RO;15;14;13;0,928571429;0,4721;2,4704;3;
2019;5;MEDICINA VETERINÁRIA;699;FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA;UNIR;Universidade;Pública Federal;150273;Educação Presencial;1100288;Rolim de Moura;RO;24;21;21;1;-0,3716;2,0209;3;
2019;36;FISIOTERAPIA;2754;FACULDADE SÃO PAULO;FSP;Faculdade;Privada com fins lucrativos;1074957;Educação Presencial;1100288;Rolim de Moura;RO;37;37;35;0,945945946;-0,2135;2,4491;3;
2019;55;BIOMEDICINA;2754;FACULDADE SÃO PAULO;FSP;Faculdade;Privada com fins lucrativos;1077884;Educação Presencial;1100288;Rolim de Moura;RO;28;24;21;0,875;-1,1518;1,5231;2;
2019;23;ENFERMAGEM;2754;FACULDADE SÃO PAULO;FSP;Faculdade;Privada com fins lucrativos;1085806;Educação Presencial;1100288;Rolim de Moura;RO;44;44;42;0,954545455;-1,1708;1,8541;2;
2019;23;ENFERMAGEM;1403;FACULDADE DE PIMENTA BUENO;FAP;Faculdade;Privada com fins lucrativos;1117490;Educação Presencial;1100189;Pimenta Bueno;RO;31;30;20;0,666666667;-2,5571;1,0699;2;
2019;19;FARMÁCIA;11645;FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA;FAEV;Faculdade;Privada sem fins lucrativos;1159840;Educação Presencial;1100304;Vilhena;RO;30;17;10;0,588235294;1,2253;3,1496;4;
2019;23;ENFERMAGEM;11645;FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA;FAEV;Faculdade;Privada sem fins lucrativos;1159841;Educação Presencial;1100304;Vilhena;RO;17;15;11;0,733333333;1,8476;3,5613;4;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);11645;FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA;FAEV;Faculdade;Privada sem fins lucrativos;1192396;Educação Presencial;1100304;Vilhena;RO;13;13;11;0,846153846;0,9724;3,0263;4;
2019;55;BIOMEDICINA;11645;FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA;FAEV;Faculdade;Privada sem fins lucrativos;1013900;Educação Presencial;1100304;Vilhena;RO;12;10;7;0,7;-0,9434;1,6753;2;
2019;92;TECNOLOGIA EM GESTÃO AMBIENTAL;4785;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFRO;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;90763;Educação Presencial;1100064;Colorado do Oeste;RO;18;18;8;0,444444444;3,1633;4,1739;5;
2019;17;AGRONOMIA;4785;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA;IFRO;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1138922;Educação Presencial;1100064;Colorado do Oeste;RO;77;51;46;0,901960784;0,1722;2,8915;3;
2019;17;AGRONOMIA;549;UNIVERSIDADE FEDERAL DO ACRE;UFAC;Universidade;Pública Federal;113809;Educação Presencial;1200203;Cruzeiro do Sul;AC;55;52;47;0,903846154;-0,545;2,3226;3;
2019;6405;ENGENHARIA FLORESTAL;549;UNIVERSIDADE FEDERAL DO ACRE;UFAC;Universidade;Pública Federal;99839;Educação Presencial;1200203;Cruzeiro do Sul;AC;44;35;22;0,628571429;-0,619;1,6893;2;
2019;23;ENFERMAGEM;549;UNIVERSIDADE FEDERAL DO ACRE;UFAC;Universidade;Pública Federal;99843;Educação Presencial;1200203;Cruzeiro do Sul;AC;33;33;32;0,96969697;-0,0485;2,4889;3;
2019;51;ZOOTECNIA;15507;Instituto Federal de Educação, Ciência e Tecnologia do Acre;IFAC;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1265002;Educação Presencial;1200500;Sena Madureira;AC;23;21;21;1;-1,3838;1,847;2;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);2613;Centro Universitário Meta;;Centro Universitário;Privada com fins lucrativos;1304121;Educação Presencial;1200401;Rio Branco;AC;28;25;21;0,84;-0,1141;2,5204;3;
2019;36;FISIOTERAPIA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;98059;Educação Presencial;1200401;Rio Branco;AC;68;60;57;0,95;0,0058;2,5779;3;
2019;23;ENFERMAGEM;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;98738;Educação Presencial;1200401;Rio Branco;AC;130;122;121;0,991803279;-0,2496;2,3751;3;
2019;6;ODONTOLOGIA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;99824;Educação Presencial;1200401;Rio Branco;AC;119;110;94;0,854545455;-0,0641;2,3613;3;
2019;27;FONOAUDIOLOGIA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;1330940;Educação Presencial;1200401;Rio Branco;AC;38;37;33;0,891891892;-1,2079;1,947;3;
2019;3501;EDUCAÇÃO FÍSICA (BACHARELADO);2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;1332472;Educação Presencial;1200401;Rio Branco;AC;29;25;20;0,8;-1,8754;1,7003;2;
2019;69;TECNOLOGIA EM RADIOLOGIA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;1192781;Educação Presencial;1200401;Rio Branco;AC;41;38;37;0,973684211;-1,0271;2,0541;3;
2019;55;BIOMEDICINA;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;1193613;Educação Presencial;1200401;Rio Branco;AC;66;65;59;0,907692308;-0,1879;2,2268;3;
2019;21;ARQUITETURA E URBANISMO;2132;CENTRO UNIVERSITÁRIO UNINORTE;;Centro Universitário;Privada com fins lucrativos;97245;Educação Presencial;1200401;Rio Branco;AC;97;76;64;0,842105263;-1,3125;1,4414;2;
2019;21;ARQUITETURA E URBANISMO;2343;FACULDADE DA AMAZÔNIA OCIDENTAL;FAAO;Faculdade;Privada com fins lucrativos;88559;Educação Presencial;1200401;Rio Branco;AC;41;39;38;0,974358974;-0,1121;2,2673;3;
2019;5806;ENGENHARIA ELÉTRICA;1226;INSTITUTO DE ENSINO SUPERIOR DO ACRE;IESACRE;Faculdade;Privada com fins lucrativos;1116501;Educação Presencial;1200401;Rio Branco;AC;25;23;20;0,869565217;0,0976;2,5644;3;
2019;5710;ENGENHARIA CIVIL;1226;INSTITUTO DE ENSINO SUPERIOR DO ACRE;IESACRE;Faculdade;Privada com fins lucrativos;1172547;Educação Presencial;1200401;Rio Branco;AC;55;52;50;0,961538462;-0,2267;2,4957;3;
2019;6405;ENGENHARIA FLORESTAL;549;UNIVERSIDADE FEDERAL DO ACRE;UFAC;Universidade;Pública Federal;21846;Educação Presencial;1200401;Rio Branco;AC;59;54;46;0,851851852;0,0048;2,1359;3;
2019;17;AGRONOMIA;549;UNIVERSIDADE FEDERAL DO ACRE;UFAC;Universidade;Pública Federal;11528;Educação Presencial;1200401;Rio Branco;AC;53;49;32;0,653061224;-0,4021;2,436;3;
